FinalIDassigned,BCG,BCG12,BCG45,Habitat,SPIspecies,SPIspecies12,SPIspecies45,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,NitrogenUptakeMetabolism2,OxygenRequirements,Salinity,Salinity2,Saprobity,TrophicState,Zygnemataceae,ZHR,CRUS,Green,Phylum,Class,Order,Family,Genus
Aulacoseira nivaloides,,,,P,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira nygaardii,,,,P,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira pusilla,,,,P,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira subarctica,3,,,P,4,,yes,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,OM,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira tenella,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira tethera,,,,P,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira valida,2,yes,,P,4,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Bacillaria,,,,BN,2,yes,,,,,,,,HM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Bacillaria
Bacillaria paradoxa,5,,yes,BN,2,yes,,,,,,high,high,HM,NAHON,NAHON,DO_30,B,Halo,AM,E,,,,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Bacillaria
Bacillariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,NA
Bacillariophyceae,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,NA,NA,NA
Bacularia,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Bacularia
Bacularia vermicularis,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Bacularia
Balbiania investiens,,,,,,,,,,,,,,,,,,,,,,,,,,Rhodophyta,Florideophyceae,Balbianiales,Balbianiaceae,Balbiania
Batrachospermales,,,,,,,,,,,,,,,,,,,,,,,yes,,,Rhodophyta,Florideophyceae,Batrachospermales,NA,NA
Batrachospermum,3,,,,,,,,,,,,,,,,,,,,,,yes,,,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermaceae,Batrachospermum
Batrachospermum arcuatum,,,,,,,,,,,,,,,,,,,,,,,,,,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermaceae,Batrachospermum
Batrachospermum boryanum,,,,,,,,,,,,,,,,,,,,,,,,,,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermaceae,Batrachospermum
Batrachospermum gelatinosum,,,,,,,,,,,,,,,,,,,,,,,yes,,,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermaceae,Batrachospermum
Berkeleya,,,,,2.8,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Berkeleyaceae,Berkeleya
Berkeleya rutilans,,,,,2.8,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Berkeleyaceae,Berkeleya
Binuclearia,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Ulvophyceae,Ulotrichales,Gloeotilaceae,Binuclearia
Binuclearia tatrana,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Ulvophyceae,Ulotrichales,Gloeotilaceae,Binuclearia
Biremis,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Scoliotropidaceae,Biremis
Biremis circumtexta,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Scoliotropidaceae,Biremis
Blidingia minima,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Ulvophyceae,Ulvales,Kornmanniaceae,Blidingia
Botryosphaerella,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Chlorophyceae incertae sedis,Chlorophyceae familia incertae sedis,Botryosphaerella
Botryosphaerella sudetica,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Chlorophyceae incertae sedis,Chlorophyceae familia incertae sedis,Botryosphaerella
Brachynema,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Hyellaceae,Brachynema
Brachysira,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira
Brachysira aponina,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira
Brachysira brebissonii,2,yes,,BN,5,,yes,,,,,low,low,MM,NALON,NALON,DO_75,F,F,OS,O,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira
Brachysira exilis,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira
Brachysira microcephala,,,,,5,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira
Brachysira neoexilis,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira
Brachysira styriaca,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira
Brachysira vitrea,3,,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_75,FB,FB,OS,OM,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira
Brachysira zellensis,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira
Bulbochaete,3,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Oedogoniales,Oedogoniaceae,Bulbochaete
Bulbochaete brebissonii,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Oedogoniales,Oedogoniaceae,Bulbochaete
Bulbochaete mirabilis,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Oedogoniales,Oedogoniaceae,Bulbochaete
Bumilleria,,,,,,,,,,,,,,,,,,,,,,,,,,Ochrophyta,Xanthophyceae,Tribonematales,Tribonemataceae,Bumilleria
Bumilleriopsis,,,,,,,,,,,,,,,,,,,,,,,,,,Ochrophyta,Xanthophyceae,Mischococcales,Centritactaceae,Bumilleriopsis
Caloneis,3,,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis alpestris,,,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_100,FB,FB,OS,M,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis amphisbaena,4,,yes,BN,2,yes,,,,,,,high,MM,NAHON,NAHON,DO_50,BF,Halo,AM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis bacillum,3,,,BN,4,,yes,,,,,high,,MM,NALON,NALON,DO_75,FB,FB,BM,ME,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis branderii,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis clevei,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis hyalina,3,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis lauta,,,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_100,F,F,OS,O,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis lewisii,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis macedonica,,,,BN,,,,,,,,high,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis molaris,,,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis permagna,,,,,2,yes,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis schumanniana,2,yes,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_75,FB,FB,OS,M,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis schumanniana var biconstricta,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis silicula,3,,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_75,FB,FB,OS,ME,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis sublinearis,,,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis tenuis,,,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_100,FB,FB,OS,M,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis thermalis,,,,BN,3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis undulata,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Calothrix,,,,,,,,yes,,,RF,low,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix atricha,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix breviarticulata,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix brevissima,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix clavata,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix confervicola,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix crustacea,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix epiphytica,3,,,,,,,yes,,,,low,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix fusca,3,,,,,,,yes,,,,low,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix kossinskajae,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix linearis,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix marchica,2,yes,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix parietina,2,yes,,,,,,yes,,,RF,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix pulvinata,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix scytonemicola,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix stagnalis,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix wembaerensis,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Campylodiscus,,,,BN,3.9,,,,,,,,,HM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Campylodiscus
Campylodiscus clypeus,,,,BN,,,,,,,,,,HM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Campylodiscus
Campylodiscus hibernicus,5,,yes,BN,5,,yes,,,,,,,HM,,,,FB,FB,,E,,,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Campylodiscus
Capartogramma,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Capartogramma
Capartogramma crucicula,,,,BN,4.9,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Capartogramma
Capsosira,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Stigonemataceae,Capsosira
Capsosira brebissonii,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Stigonemataceae,Capsosira
Carteria,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Volvocales,Carteriaceae,Carteria
Carteria klebsii,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Volvocales,Carteriaceae,Carteria
Cavinula,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula
Cavinula cocconeiformis,,,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_100,F,F,OS,OM,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula
Cavinula jaernefeltii,,,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_100,FB,FB,OS,OM,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula
Cavinula lapidosa,2,yes,,BN,5,,yes,,,,,low,,MM,NALON,NALON,DO_100,F,F,OS,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula
Cavinula pseudoscutiformis,,,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_75,FB,FB,BM,ME,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula
Cavinula scutelloides,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula
Cavinula variostriata,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula
Cavinula vincentii,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula
Ceratium,,,,,,,,,,,,,,,,,,,,,,,,,,Miozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium
Ceratium hirundinella,,,,,,,,,,,,,,,,,,,,,,,,,,Miozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium
Chadefaudiothrix,,,,,,,,,,,,,,,,,,,,,,,,,,Ochrophyta,Xanthophyceae,Tribonematales,Tribonemataceae,Chadefaudiothrix
Chadefaudiothrix gallica,,,,,,,,,,,,,,,,,,,,,,,,,,Ochrophyta,Xanthophyceae,Tribonematales,Tribonemataceae,Chadefaudiothrix
Chaetophora,2,yes,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Chaetophora
Chaetophora elegans,2,yes,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Chaetophora
Chaetophora incrassata,2,yes,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Chaetophora
Chaetophorales,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Chaetophorales,NA,NA
Chaetosphaeridium,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Mesostigmatophyceae,Chaetosphaeridiales,Chaetosphaeridiaceae,Chaetosphaeridium
Chaetosphaeridium globosum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Mesostigmatophyceae,Chaetosphaeridiales,Chaetosphaeridiaceae,Chaetosphaeridium
Chamaepinnularia,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia
Chamaepinnularia begeri,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia
Chamaepinnularia bremensis,2,yes,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia
Chamaepinnularia evanida,,,,,4.6,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia
Chamaepinnularia mediocris,,,,BN,4,,yes,,,,,low,low,MM,NALON,NALON,DO_100,F,F,OS,O,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia
Chamaepinnularia soehrensis,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia
Chamaepinnularia soehrensis var hassica,,,,BN,,,,,,,,,,MM,NALON,NALON,DO_100,F,F,OS,O,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia
Chamaepinnularia soehrensis var muscicola,,,,BN,,,,,,,,,,MM,NALON,NALON,DO_100,F,F,OS,O,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia
Chamaesiphon,2,yes,,,,,,,low,,RF,,low,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon
Chamaesiphon amethystinus,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon
Chamaesiphon confervicola,2,yes,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon
Chamaesiphon incrustans,2,yes,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon
Chamaesiphon investiens,3,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon
Chamaesiphon minimus,2,yes,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon
Chamaesiphon minutus,2,yes,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon
Chamaesiphon niger,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon
Chamaesiphon polymorphus,2,yes,,,,,,,low,,RF,,low,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon
Chamaesiphon starmachii,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon
Chamaesiphon subglobosus,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon
Chantransia,3,,,,,,,,,,,,,,,,,,,,,,yes,,,Rhodophyta,Florideophyceae,Batrachospermales,Lemaneaceae,Chantransia
Chara,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Charophyceae,Charales,Characeae,Chara
Chara canescens,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Charophyceae,Charales,Characeae,Chara
Chara contraria,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Charophyceae,Charales,Characeae,Chara
Chara globularis,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Charophyceae,Charales,Characeae,Chara
Chara vulgaris,3,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Charophyceae,Charales,Characeae,Chara
Chara zeylanica,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Charophyceae,Charales,Characeae,Chara
Characiopsis,,,,,,,,,,,,,,,,,,,,,,,,,,Ochrophyta,Xanthophyceae,Mischococcales,Characiopsidaceae,Characiopsis
Characiopsis longipes,,,,,,,,,,,,,,,,,,,,,,,,,,Ochrophyta,Xanthophyceae,Mischococcales,Characiopsidaceae,Characiopsis
Characiopsis minor,,,,,,,,,,,,,,,,,,,,,,,,,,Ochrophyta,Xanthophyceae,Mischococcales,Characiopsidaceae,Characiopsis
Characiopsis minuta,,,,,,,,,,,,,,,,,,,,,,,,,,Ochrophyta,Xanthophyceae,Mischococcales,Characiopsidaceae,Characiopsis
Characiopsis subulata,,,,,,,,,,,,,,,,,,,,,,,,,,Ochrophyta,Xanthophyceae,Mischococcales,Characiopsidaceae,Characiopsis
Characium,,,,,,,,,,,,,,,,,,,,,,,,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Characiaceae,Characium
Characium ambiguum,,,,,,,,,,,,,,,,,,,,,,,,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Characiaceae,Characium
Characium pringsheimii,,,,,,,,,,,,,,,,,,,,,,,,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Characiaceae,Characium
Chlamydocapsa,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellopsidaceae,Chlamydocapsa
Chlamydocapsa ampla,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellopsidaceae,Chlamydocapsa
Chlamydomonadales,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Chlamydomonadales,NA,NA
Chlamydomonadopsis,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Tetrasporales,Chlorangiellaceae,Chlamydomonadopsis
Chlamydomonas,,,,,,,,,,high,,high,high,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas
Chlamydomonas ambigua,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas
Chlamydomonas bicocca,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas
Chlamydomonas debaryana,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas
Chlamydomonas ehrenbergii,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas
Chlamydomonas globosa,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas
Chlamydomonas gloeopara,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas
Chlamydomonas pila,,,,,,,,,,,,,,,,,,,,,,,,,,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas
Chlamydomonas pseudopertyi,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas
Chlamydomonas reinhardtii,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas
Chlamydomonas simplex,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas
Chlamydomonas snowiae,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas
Chlamydomonas stellata,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas
Chlorella,,,,,,,,,high,high,,,high,,,,,,,,,,,,yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella
Chlorella emersonii,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella
Chlorella minutissima,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella
Chlorella vulgaris,4,,yes,,,,,,high,high,,,high,,,,,,,,,,,,yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella
Chlorogloea,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Chlorogloea
Chlorogloea microcystoides,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Chlorogloea
Chlorogloea novacekii,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Chlorogloea
Chlorogloea rivularis,3,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Chlorogloea
Chlorophyta,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,NA,NA,NA,NA
Chlorosaccus,,,,,,,,,,,,,,,,,,,,,,,,,,Ochrophyta,Xanthophyceae,Mischococcales,Gloeobotrydaceae,Chlorosaccus
