FinalIDassigned,BCG,Habitat,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,OxygenRequirements,Salinity,Saprobity,TrophicState,ZHR,CRUS,Green,Salinity2,NitrogenUptakeMetabolism2,Phylum,Class,Order,Family,Genus
Caloneis hyalina,3,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis lauta,,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis lewisii,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis macedonica,,BN,NA,NA,NA,NA,high,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis molaris,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis permagna,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis schumanniana,2,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_75,FB,OS,M,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis schumanniana var biconstricta,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis silicula,3,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_75,FB,OS,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis sublinearis,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis tenuis,,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,FB,OS,M,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis thermalis,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Caloneis undulata,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis
Campylodiscus,,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Campylodiscus
Campylodiscus clypeus,,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Campylodiscus
Campylodiscus hibernicus,5,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,FB,NA,E,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Campylodiscus
Capartogramma,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Capartogramma
Capartogramma crucicula,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Capartogramma
Cavinula,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula
Cavinula cocconeiformis,,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,F,OS,OM,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula
Cavinula jaernefeltii,,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,FB,OS,OM,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula
Cavinula lapidosa,2,BN,NA,NA,NA,NA,low,NA,MM,NALON,DO_100,F,OS,NA,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula
Cavinula pseudoscutiformis,,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_75,FB,BM,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula
Cavinula scutelloides,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula
Cavinula variostriata,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula
Cavinula vincentii,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula
Chamaepinnularia,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia
Chamaepinnularia begeri,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia
Chamaepinnularia bremensis,2,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia
Chamaepinnularia evanida,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia
Chamaepinnularia mediocris,,BN,NA,NA,NA,NA,low,low,MM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia
Chamaepinnularia soehrensis,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia
Chamaepinnularia soehrensis var hassica,,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia
Chamaepinnularia soehrensis var muscicola,,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia
Cocconeis,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis disculus,3,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,BF,OS,NA,NA,NA,NA,Halo,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis fluviatilis,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis klamathensis,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis neodiminuta,3,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,FB,NA,NA,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis neothumensis,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis pediculus,4,BN,NA,NA,NA,NA,high,NA,NM,NAHON,DO_75,BF,BM,E,NA,NA,NA,Halo,NAHON,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis placentula,4,BN,NA,NA,NA,NA,high,high,NM,NAHON,DO_50,FB,BM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis placentula var euglypta,4,BN,NA,NA,NA,NA,high,high,NM,NAHON,DO_50,FB,BM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis placentula var lineata,4,BN,NA,NA,NA,NA,high,high,NM,NAHON,DO_50,FB,BM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis pseudolineata,4,BN,NA,NA,NA,NA,NA,high,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis pseudothumensis,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis rugosa,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis scutellum,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Coscinodiscophyceae,,,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,NA,NA,NA
Coscinodiscus,,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus
Cosmioneis,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Cosmioneidaceae,Cosmioneis
Cosmioneis pusilla,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Cosmioneidaceae,Cosmioneis
Craticula,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula accomoda,5,BN,NA,NA,NA,NA,high,high,MM,NHHONO,DO_10,FB,PS,PH,NA,NA,NA,FB,Heterotroph,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula acidoclinata,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula ambigua,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula buderi,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula cuspidata,4,BN,NA,NA,NA,NA,high,high,MM,NAHON,DO_50,FB,AM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula halophila,4,BN,NA,NA,NA,NA,high,high,MM,NAHON,DO_75,B,AM,E,NA,NA,NA,Halo,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula halophilioides,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula minusculoides,,BN,NA,NA,NA,NA,NA,NA,MM,NHHONO,DO_30,FB,AMPS,E,NA,NA,NA,FB,Heterotroph,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula molestiformis,5,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula submolesta,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Ctenophora,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Licmophorales,Ulnariaceae,Ctenophora
Ctenophora pulchella,4,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Licmophorales,Ulnariaceae,Ctenophora
Cyclostephanos,,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclostephanos costatilimbus,,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclostephanos damasii,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclostephanos dubius,,P,NA,NA,NA,NA,high,high,NM,NAHON,DO_75,BF,AM,E,NA,NA,NA,Halo,NAHON,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclostephanos invisitatus,4,P,NA,NA,NA,NA,high,high,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclostephanos tholiformis,,P,NA,NA,NA,NA,high,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclotella,,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella atomus,5,P,NA,NA,NA,NA,high,high,NM,NAHON,DO_75,BF,AM,E,NA,NA,NA,Halo,NAHON,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella bodanica,2,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella comensis,,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,FB,NA,NA,NA,NA,NA,FB,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella distinguenda,,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella gamma,3,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella hakanssoniae,,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella meneghiniana,5,P,NA,NA,NA,NA,high,high,NM,NHHONF,DO_10,BF,AMPS,E,NA,NA,NA,Halo,Heterotroph,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella ocellata,3,P,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,F,OS,ME,NA,NA,NA,F,NALON,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella operculata,,,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella rossii,,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella tripartita,,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cylindrotheca,,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca
Cylindrotheca gracilis,5,BN,NA,NA,NA,NA,NA,NA,HM,NA,DO_100,B,BM,E,NA,NA,NA,Halo,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca
Cymatopleura,,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura
Cymatopleura elliptica,3,BN,NA,NA,NA,NA,NA,NA,HM,NAHON,DO_75,BF,BM,E,NA,NA,NA,Halo,NAHON,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura
Cymatopleura solea,4,BN,NA,NA,NA,NA,NA,NA,HM,NAHON,DO_50,FB,BM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura
Cymatopleura solea var apiculata,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura
Cymbella,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,NALON,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella affinis,2,BN,NA,NA,NA,NA,low,low,NM,NALON,DO_100,FB,BM,E,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella aspera,,BN,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,FB,OS,I,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella austriaca var erdobenyiana,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella cistula,3,BN,NA,NA,NA,NA,low,low,NM,NALON,DO_75,FB,BM,E,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella compacta,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella cymbiformis,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella cymbiformis var nonpunctata,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella dorsenotata,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella elginensis,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella excisa,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella gracilis,,BN,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,F,OS,OM,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella helmckei,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella helvetica,,BN,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,FB,OS,M,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella heteropleura,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella hungarica,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella hustedtii,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella janischii,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella kappii,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella kolbei,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella laevis,,BN,NA,NA,NA,NA,low,low,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella lanceolata,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella lapponica,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella lata,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,FB,NA,NA,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella leptoceras,,BN,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella mexicana,3,BN,NA,NA,NA,NA,NA,low,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella neocistula,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella parva,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella proxima,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,F,NA,M,NA,NA,NA,F,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella reinhardtii,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella subcistula,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella subhelvetica,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella subturgidula,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella sumatrensis,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella tropica,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella tumida,3,BN,NA,NA,NA,NA,low,low,NM,NALON,DO_100,FB,OS,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella tumidula,3,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella turgidula,2,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella vulgata,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbellaceae,,BN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,NA
Cymbellafalsa,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbellafalsa
